ticket_id,customer_id,created_date,category,priority,status
TK-00241,C-0027,07/12/2024,Account,Critical,Open
TK-00242,C-0027,13/12/2024,Onboarding,High,Closed
TK-00243,C-0027,18/12/2024,Billing,High,Resolved
TK-00244,C-0027,20/12/2024,Technical,Low,Closed
TK-00245,C-0027,21-Dec-24,Technical,Low,In Progress
TK-00246,C-0027,10/20/2024,Account,High,Resolved
TK-00247,C-0027,11/30/2024,Billing,Medium,Closed
TK-00248,C-0028,12/09/2024,Technical,Low,Closed
TK-00249,C-0028,05/10/2024,Billing,Medium,Closed
TK-00250,C-0028,06/10/2024,Technical,Medium,Resolved
TK-00251,C-0028,12/10/2024,Technical,Medium,Resolved
TK-00252,C-0028,17/10/2024,Billing,High,In Progress
TK-00253,C-0028,27/10/2024,Billing,Critical,In Progress
TK-00254,C-0028,05/11/2024,Technical,High,Closed
TK-00255,C-0028,08/12/2024,Technical,Medium,Resolved
TK-00256,C-0028,09/12/2024,Billing,Medium,Resolved
TK-00257,C-0028,12/12/2024,Technical,Medium,Open
TK-00258,C-0028,14/12/2024,Technical,Critical,Open
TK-00259,C-0028,14-Dec-24,Technical,Medium,Resolved
TK-00260,C-0028,14/12/2024,Onboarding,High,Closed
TK-00261,C-0028,18/12/2024,Billing,Low,Resolved
TK-00262,C-0029,19/03/2024,Technical,Low,Closed
TK-00263,C-0029,21/08/2024,Billing,High,In Progress
TK-00264,C-0029,14/10/2024,Feature Request,Low,Closed
TK-00265,C-0029,21/10/2024,Technical,High,Resolved
TK-00266,C-0029,06/11/2024,Technical,Low,Resolved
TK-00267,C-0029,14/12/2024,Technical,Low,Open
TK-00268,C-0029,22/12/2024,Feature Request,Low,In Progress
TK-00269,C-0030,25/02/2024,Onboarding,Low,Closed
TK-00270,C-0032,15/03/2024,Billing,High,Resolved
TK-00271,C-0032,28/06/2024,Billing,High,In Progress
TK-00272,C-0032,06/10/2024,Technical,Medium,Resolved
TK-00273,C-0032,07/10/2024,Feature Request,Critical,Resolved
TK-00274,C-0032,12/10/2024,Technical,Medium,Closed
TK-00275,C-0032,26/10/2024,Billing,Low,Resolved
TK-00276,C-0032,08/11/2024,Onboarding,High,Resolved
TK-00277,C-0032,22/11/2024,Onboarding,Critical,Resolved
TK-00278,C-0032,23/11/2024,Feature Request,High,Open
TK-00279,C-0032,02/12/2024,Technical,High,In Progress
TK-00280,C-0032,09/12/2024,Feature Request,Low,Closed
TK-00281,C-0032,13/12/2024,Feature Request,High,Closed
TK-00282,C-0032,21/12/2024,Feature Request,Low,Closed
TK-00283,C-0032,27/12/2024,Technical,Low,Closed
TK-00284,C-0032,29/12/2024,Technical,High,Resolved
TK-00285,C-0032,30/12/2024,Technical,Low,Closed
TK-00286,C-0032,11/28/2024,Billing,Critical,Resolved
TK-00287,C-0033,06/03/2024,Billing,Low,Resolved
TK-00288,C-0033,06/08/2024,Billing,High,Resolved
TK-00289,C-0033,22/10/2024,Technical,Low,Closed
TK-00290,C-0033,08/11/2024,Technical,Medium,Open
TK-00291,C-0034,11/01/2024,Billing,Low,Resolved
TK-00292,C-0034,07/10/2024,Technical,Critical,Closed
TK-00293,C-0034,12/10/2024,Billing,High,Closed
TK-00294,C-0034,20/10/2024,Technical,Critical,Open
TK-00295,C-0034,01/11/2024,Account,Medium,Closed
TK-00296,C-0034,23/11/2024,Technical,Medium,Closed
TK-00297,C-0034,15/12/2024,Billing,High,Resolved
TK-00298,C-0034,20/12/2024,Technical,High,Resolved
TK-00299,C-0034,26/12/2024,Onboarding,Medium,Resolved
TK-00300,C-0035,08/08/2024,Billing,Medium,Resolved
TK-00301,C-0035,02/10/2024,Billing,Low,Resolved
TK-00302,C-0035,18/10/2024,Feature Request,High,In Progress
TK-00303,C-0035,18/10/2024,Technical,Medium,In Progress
TK-00304,C-0035,23/10/2024,Technical,Medium,Closed
TK-00305,C-0035,01/11/2024,Onboarding,Medium,Closed
TK-00306,C-0035,09/11/2024,Account,Medium,Open
TK-00307,C-0035,14/11/2024,Billing,High,Resolved
TK-00308,C-0035,17-Nov-24,Onboarding,Medium,Closed
TK-00309,C-0035,18/11/2024,Technical,High,Resolved
TK-00310,C-0035,25/11/2024,Technical,High,Resolved
TK-00311,C-0035,23/12/2024,Technical,Low,Resolved
TK-00312,C-0036,03/10/2024,Onboarding,High,Resolved
TK-00313,C-0036,18/10/2024,Technical,Critical,Closed
TK-00314,C-0036,02/11/2024,Technical,High,Closed
TK-00315,C-0036,07-Nov-24,Account,Low,Resolved
TK-00316,C-0036,18-Nov-24,Billing,Low,Resolved
TK-00317,C-0036,26/11/2024,Billing,Critical,Resolved
TK-00318,C-0036,28/11/2024,Billing,Medium,Resolved
TK-00319,C-0036,15/12/2024,Billing,Medium,Open
TK-00320,C-0036,17/12/2024,Billing,Low,Closed
TK-00321,C-0036,11/29/2024,Feature Request,Critical,Resolved
TK-00322,C-0037,07/11/2024,Billing,Medium,Closed
TK-00323,C-0037,06/12/2024,Onboarding,Medium,Closed
TK-00324,C-0037,24/12/2024,Feature Request,Medium,Closed
TK-00325,C-0038,03/05/2024,Feature Request,Critical,Closed
TK-00326,C-0038,10/08/2024,Billing,High,In Progress
TK-00327,C-0038,04/10/2024,Billing,Critical,Closed
TK-00328,C-0038,10/10/2024,Technical,High,Resolved
TK-00329,C-0038,07/11/2024,Technical,Medium,Open
TK-00330,C-0038,12/11/2024,Feature Request,Medium,Resolved
TK-00331,C-0038,12/11/2024,Billing,Medium,Closed
TK-00332,C-0038,14-Nov-24,Billing,Low,Resolved
TK-00333,C-0038,11/12/2024,Technical,Medium,Closed
TK-00334,C-0038,14/12/2024,Technical,Low,Closed
TK-00335,C-0038,20/12/2024,Technical,High,Resolved
TK-00336,C-0038,29/12/2024,Account,Medium,Open
TK-00337,C-0038,29/12/2024,Technical,Critical,In Progress
TK-00338,C-0039,11/01/2024,Account,High,Closed
TK-00339,C-0039,05/10/2024,Technical,Low,Open
TK-00340,C-0039,26/10/2024,Feature Request,Critical,Open
TK-00341,C-0039,04-Nov-24,Billing,Low,Resolved
TK-00342,C-0039,08/11/2024,Technical,High,Resolved
TK-00343,C-0039,09/11/2024,Billing,High,Resolved
TK-00344,C-0039,20/11/2024,Onboarding,High,Resolved
TK-00345,C-0039,15-Dec-24,Feature Request,Medium,Closed
TK-00346,C-0039,21/12/2024,Technical,Low,Resolved
TK-00347,C-0039,22/12/2024,Billing,Medium,Closed
TK-00348,C-0041,06/06/2024,Billing,Medium,Closed
TK-00349,C-0041,07/07/2024,Onboarding,High,In Progress
TK-00350,C-0041,09/10/2024,Billing,High,In Progress
TK-00351,C-0041,14/10/2024,Technical,High,Resolved
TK-00352,C-0041,15-Dec-24,Onboarding,Medium,Resolved
TK-00353,C-0041,22/12/2024,Account,Low,Open
TK-00354,C-0042,12/08/2024,Account,Low,Closed
TK-00355,C-0042,12/09/2024,Feature Request,Critical,Closed
TK-00356,C-0042,08/10/2024,Technical,Low,Resolved
TK-00357,C-0042,11-Oct-24,Technical,Medium,Resolved
TK-00358,C-0042,12/10/2024,Billing,Low,Resolved
TK-00359,C-0042,27/10/2024,Billing,Critical,Closed
TK-00360,C-0042,09/11/2024,Billing,High,Resolved
TK-00361,C-0042,24/11/2024,Feature Request,Medium,Closed
TK-00362,C-0042,04/12/2024,Technical,Critical,Resolved
TK-00363,C-0042,10/12/2024,Technical,High,Resolved
TK-00364,C-0042,18/12/2024,Billing,High,Closed
TK-00365,C-0042,11/19/2024,Account,High,Closed
TK-00366,C-0043,25/03/2024,Billing,Critical,Closed
TK-00367,C-0043,26/04/2024,Account,Medium,Closed
TK-00368,C-0043,10/05/2024,Technical,Medium,Open
TK-00369,C-0043,16/11/2024,Account,Critical,Closed
TK-00370,C-0044,21/08/2024,Technical,Medium,Closed
TK-00371,C-0044,11/11/2024,Account,High,In Progress
TK-00372,C-0044,14/11/2024,Technical,High,Resolved
TK-00373,C-0045,03/04/2024,Billing,Critical,Resolved
TK-00374,C-0045,02/09/2024,Feature Request,Medium,Resolved
TK-00375,C-0045,07/10/2024,Onboarding,Low,Closed
TK-00376,C-0045,11/10/2024,Billing,Critical,Resolved
TK-00377,C-0045,13/10/2024,Account,Critical,Resolved
TK-00378,C-0045,17/10/2024,Billing,Medium,Resolved
TK-00379,C-0045,04-Nov-24,Billing,Medium,Resolved
TK-00380,C-0045,21/11/2024,Technical,Low,Closed
TK-00381,C-0045,23/11/2024,Onboarding,Medium,Resolved
TK-00382,C-0045,26/11/2024,Technical,High,Closed
TK-00383,C-0045,05/12/2024,Technical,High,Resolved
TK-00384,C-0045,18/12/2024,Billing,Critical,Resolved
TK-00385,C-0045,18/12/2024,Technical,High,In Progress
TK-00386,C-0046,10/10/2024,Billing,Low,Closed
TK-00387,C-0046,19/10/2024,Onboarding,High,Closed
TK-00388,C-0046,02/11/2024,Technical,High,Closed
TK-00389,C-0046,07/11/2024,Billing,Medium,Resolved
TK-00390,C-0046,10/11/2024,Billing,Low,Closed
TK-00391,C-0046,13/12/2024,Billing,Medium,Closed
TK-00392,C-0046,17/12/2024,Technical,Low,Resolved
TK-00393,C-0046,18-Dec-24,Feature Request,High,In Progress
TK-00394,C-0046,20/12/2024,Billing,High,Closed
TK-00395,C-0046,23/12/2024,Account,High,Resolved
TK-00396,C-0047,06/10/2024,Billing,Medium,Resolved
TK-00397,C-0047,10/10/2024,Technical,Medium,Closed
TK-00398,C-0047,11/10/2024,Technical,Critical,Resolved
TK-00399,C-0047,12/10/2024,Billing,Low,In Progress
TK-00400,C-0047,14-Nov-24,Account,High,Closed
TK-00401,C-0047,15/12/2024,Technical,Medium,Resolved
TK-00402,C-0047,21/12/2024,Technical,High,Resolved
TK-00403,C-0047,25/12/2024,Feature Request,Critical,In Progress
TK-00404,C-0047,26/12/2024,Onboarding,Medium,Resolved
TK-00405,C-0048,28/05/2024,Feature Request,Medium,In Progress
TK-00406,C-0048,16-Oct-24,Technical,Medium,Resolved
TK-00407,C-0048,21/10/2024,Billing,High,Open
TK-00408,C-0048,15/11/2024,Technical,Medium,Open
TK-00409,C-0048,23/11/2024,Feature Request,Medium,Closed
TK-00410,C-0048,29/11/2024,Billing,High,Resolved
TK-00411,C-0048,02/12/2024,Billing,Low,Open
TK-00412,C-0048,29/12/2024,Feature Request,Low,Closed
TK-00413,C-0049,16/08/2024,Technical,Low,Open
TK-00414,C-0049,27/09/2024,Feature Request,Medium,Closed
TK-00415,C-0049,17/10/2024,Feature Request,High,Resolved
TK-00416,C-0049,28/10/2024,Billing,Low,In Progress
TK-00417,C-0049,07/11/2024,Technical,Medium,Closed
TK-00418,C-0049,11/11/2024,Technical,Critical,Closed
TK-00419,C-0049,17/11/2024,Feature Request,Low,Resolved
TK-00420,C-0049,11/12/2024,Billing,High,Resolved
TK-00421,C-0049,14/12/2024,Technical,Medium,Resolved
TK-00422,C-0049,22/12/2024,Billing,Medium,Resolved
TK-00423,C-0049,27/12/2024,Billing,High,Closed
TK-00424,C-0049,30/12/2024,Technical,High,Resolved
TK-00425,C-0049,10/27/2024,Account,Medium,Closed
TK-00426,C-0050,25/10/2024,Feature Request,Critical,Closed
TK-00427,C-0050,12/11/2024,Account,Medium,In Progress
TK-00428,C-0050,18/11/2024,Account,Medium,Closed
TK-00429,C-0050,06/12/2024,Onboarding,Medium,Closed
TK-00430,C-0050,10/12/2024,Technical,Medium,Open
TK-00431,C-0050,11/25/2024,Billing,Medium,Closed
TK-00432,C-0051,18/10/2024,Technical,High,Resolved
TK-00433,C-0051,03/11/2024,Feature Request,High,Closed
TK-00434,C-0051,05/11/2024,Billing,Low,Open
TK-00435,C-0051,10/11/2024,Technical,Medium,In Progress
TK-00436,C-0051,11/11/2024,Technical,Medium,Resolved
TK-00437,C-0051,20/11/2024,Billing,High,In Progress
TK-00438,C-0051,02/12/2024,Feature Request,Low,Closed
TK-00439,C-0051,20/12/2024,Account,High,Closed
TK-00440,C-0052,22/01/2024,Account,Critical,Closed
TK-00441,C-0052,12/04/2024,Technical,Critical,Resolved
TK-00442,C-0052,16/08/2024,Account,Medium,Resolved
TK-00443,C-0052,24/10/2024,Account,Critical,Closed
TK-00444,C-0052,07/11/2024,Account,Medium,Closed
TK-00445,C-0052,01/12/2024,Billing,Low,In Progress
TK-00446,C-0052,05/12/2024,Feature Request,Low,Closed
TK-00447,C-0052,16/12/2024,Technical,Medium,Closed
TK-00448,C-0052,19/12/2024,Technical,High,In Progress
TK-00449,C-0053,24/10/2024,Billing,High,Resolved
TK-00450,C-0053,30/10/2024,Technical,Low,Closed
TK-00451,C-0053,08/11/2024,Onboarding,Low,Resolved
TK-00452,C-0053,13/11/2024,Technical,High,Closed
TK-00453,C-0053,13/11/2024,Billing,Low,In Progress
TK-00454,C-0053,15/11/2024,Account,Medium,Resolved
TK-00455,C-0053,17/11/2024,Account,Medium,Closed
TK-00456,C-0053,18/11/2024,Account,High,In Progress
TK-00457,C-0053,26/11/2024,Billing,Medium,Closed
TK-00458,C-0053,05/12/2024,Technical,Medium,Resolved
TK-00459,C-0053,20-Dec-24,Technical,High,Resolved
TK-00460,C-0053,20/12/2024,Technical,High,Resolved
TK-00461,C-0053,24/12/2024,Feature Request,Medium,Closed
TK-00462,C-0053,29/12/2024,Account,Low,Open
TK-00463,C-0053,11/13/2024,Technical,Medium,Closed
TK-00464,C-0054,15/10/2024,Billing,Low,Resolved
TK-00465,C-0054,16/10/2024,Feature Request,High,Resolved
