survey_id,customer_id,nps_score,survey_date
SV-02248,C-0033,4,22/07/2024
SV-04087,C-0034,2,04/10/2024
SV-00584,C-0035,1,23/09/2024
SV-00585,C-0035,4,14/05/2024
SV-03373,C-0036,10,23/07/2024
SV-01751,C-0037,2,06/07/2024
SV-01752,C-0037,5,10/03/2024
SV-01530,C-0038,9,08/04/2024
SV-01529,C-0038,6,06/11/2024
SV-00814,C-0039,8,10/11/2024
SV-03594,C-0040,7,22/10/2024
SV-03595,C-0040,8,24/02/2024
SV-01747,C-0041,7,31/08/2024
SV-01748,C-0041,8,16/02/2024
SV-02579,C-0042,7,03/10/2024
SV-01739,C-0043,5,10/09/2024
SV-01740,C-0043,7,04/02/2024
SV-00253,C-0044,0,14/04/2024
SV-00252,C-0044,1,03/08/2024
SV-03179,C-0045,-1,24/02/2024
SV-03178,C-0045,6,16/11/2024
SV-03726,C-0046,4,26/08/2024
SV-03880,C-0047,8,02/02/2024
SV-03879,C-0047,10,21/07/2024
SV-01278,C-0048,6,06/02/2024
SV-01277,C-0048,8,29/09/2024
SV-00702,C-0049,9,05/06/2024
SV-00701,C-0049,7,01/07/2024
SV-02880,C-0050,0,26/07/2024
SV-01709,C-0051,0,06/10/2024
SV-03564,C-0052,3,08/11/2024
SV-01000,C-0053,3,30/07/2024
SV-02078,C-0054,5,03/03/2024
SV-02077,C-0054,6,11/11/2024
SV-01342,C-0055,9,17/08/2024
SV-02569,C-0056,5,08/08/2024
SV-02570,C-0056,8,14/02/2024
SV-03465,C-0057,8,18/08/2024
SV-03253,C-0058,2,18/12/2024
SV-03254,C-0058,5,07/02/2024
SV-01631,C-0059,1,10/03/2024
SV-01630,C-0059,4,20/07/2024
SV-03058,C-0060,3,06/10/2024
SV-03906,C-0061,1,04/05/2024
SV-03905,C-0061,3,26/12/2024
SV-02824,C-0062,0,02/04/2024
SV-02823,C-0062,1,26/07/2024
SV-03949,C-0063,10,15/09/2024
SV-03950,C-0063,10,22/02/2024
SV-04022,C-0065,6,18/05/2024
SV-04021,C-0065,3,11/07/2024
SV-02874,C-0066,3,04/11/2024
SV-02875,C-0066,0,29/03/2024
SV-03231,C-0067,10,07/05/2024
SV-03230,C-0067,8,29/11/2024
SV-04389,C-0068,6,25/09/2024
SV-01898,C-0069,1,19/12/2024
SV-01899,C-0069,0,16/04/2024
SV-03811,C-0070,10,05/10/2024
SV-03812,C-0070,8,10/02/2024
SV-00336,C-0071,0,06/07/2024
SV-00337,C-0071,0,21/01/2024
SV-04393,C-0072,7,18/07/2024
SV-01958,C-0073,3,14/11/2024
SV-01959,C-0073,4,23/04/2024
SV-01346,C-0074,2,30/12/2024
SV-01367,C-0075,8,02/02/2024
SV-01366,C-0075,6,13/11/2024
SV-00778,C-0076,3,09/03/2024
SV-00777,C-0076,5,21/07/2024
SV-01860,C-0077,1,24/05/2024
SV-01859,C-0077,0,31/07/2024
SV-03146,C-0078,9,06/08/2024
SV-04289,C-0079,6,17/12/2024
SV-04135,C-0080,0,20/09/2024
SV-01845,C-0081,8,27/10/2024
SV-01846,C-0081,10,28/01/2024
SV-04221,C-0082,10,21/11/2024
SV-04222,C-0082,9,19/01/2024
SV-03793,C-0083,6,16/08/2024
SV-00694,C-0086,5,19/11/2024
SV-02330,C-0087,8,11/11/2024
SV-01241,C-0088,8,20/11/2024
SV-04098,C-0089,7,04/11/2024
SV-00397,C-0090,8,10/09/2024
SV-00398,C-0090,5,04/02/2024
SV-00016,C-0091,10,01/12/2024
SV-00017,C-0091,9,09/05/2024
SV-01833,C-0092,7,05/05/2024
SV-01832,C-0092,9,18/11/2024
SV-01648,C-0093,4,30/09/2024
SV-03300,C-0094,9,03/12/2024
SV-03301,C-0094,10,21/05/2024
SV-00997,C-0095,10,23/10/2024
SV-03310,C-0096,6,14/07/2024
SV-01554,C-0097,9,13/07/2024
SV-01555,C-0097,7,14/05/2024
SV-02860,C-0098,6,12/12/2024
SV-00480,C-0099,9,26/10/2024
SV-00481,C-0099,6,14/02/2024
SV-00485,C-0100,2,02/04/2024
SV-00484,C-0100,0,24/08/2024
SV-04158,C-0101,6,26/07/2024
SV-02027,C-0102,2,23/01/2024
SV-02026,C-0102,0,27/07/2024
SV-01579,C-0103,10,11/11/2024
SV-01580,C-0103,10,18/04/2024
SV-00100,C-0104,3,14/09/2024
SV-00101,C-0104,1,23/03/2024
SV-02664,C-0105,9,10/09/2024
SV-03678,C-0106,10,07/02/2024
SV-03677,C-0106,10,09/09/2024
SV-02601,C-0107,6,04/11/2024
SV-02602,C-0107,9,16/04/2024
SV-00589,C-0108,9,16/11/2024
SV-01075,C-0109,4,27/12/2024
SV-01076,C-0109,1,21/04/2024
SV-04185,C-0110,10,07/11/2024
SV-01039,C-0112,6,05/03/2024
SV-01038,C-0112,5,01/12/2024
SV-00195,C-0113,1,15/09/2024
SV-00196,C-0113,0,21/02/2024
SV-04204,C-0114,3,06/08/2024
SV-00479,C-0115,8,29/09/2024
SV-02584,C-0116,4,10/08/2024
SV-04202,C-0117,1,27/11/2024
SV-04203,C-0117,4,10/02/2024
SV-00799,C-0118,10,24/09/2024
SV-03753,C-0119,7,28/10/2024
SV-03754,C-0119,8,30/01/2024
SV-02423,C-0120,5,16/03/2024
SV-02422,C-0120,3,04/12/2024
SV-02277,C-0121,2,17/04/2024
SV-02276,C-0121,4,05/12/2024
SV-01591,C-0122,9,17/09/2024
SV-01592,C-0122,10,17/01/2024
SV-02103,C-0123,4,06/12/2024
SV-02104,C-0123,2,19/05/2024
SV-02635,C-0124,3,21/11/2024
SV-04130,C-0125,10,24/04/2024
SV-04129,C-0125,8,18/08/2024
SV-02946,C-0126,9,23/01/2024
SV-02945,C-0126,10,30/07/2024
SV-03975,C-0127,0,08/09/2024
SV-03976,C-0127,0,28/03/2024
SV-03663,C-0128,10,24/10/2024
SV-03664,C-0128,10,30/04/2024
SV-00716,C-0129,3,22/09/2024
SV-00717,C-0129,1,31/01/2024
SV-03904,C-0130,1,19/11/2024
SV-02302,C-0131,7,16/07/2024
SV-02303,C-0131,4,04/03/2024
SV-04268,C-0132,10,17/12/2024
SV-04269,C-0132,9,07/02/2024
SV-00755,C-0133,4,12/10/2024
SV-01218,C-0134,9,19/10/2024
SV-01973,C-0135,10,19/04/2024
SV-01972,C-0135,7,12/09/2024
SV-02150,C-0136,9,29/09/2024
SV-02151,C-0136,8,25/06/2024
SV-01655,C-0137,4,23/12/2024
SV-00578,C-0138,10,12/12/2024
SV-01522,C-0140,8,24/04/2024
SV-01521,C-0140,7,06/12/2024
SV-03669,C-0141,0,29/11/2024
SV-03053,C-0142,3,12/06/2024
SV-03052,C-0142,5,28/09/2024
SV-01571,C-0143,7,24/12/2024
SV-03847,C-0144,2,15/03/2024
SV-03846,C-0144,4,31/07/2024
SV-03417,C-0145,2,02/12/2024
SV-03418,C-0145,0,29/03/2024
SV-03291,C-0146,5,02/03/2024
SV-03290,C-0146,4,05/11/2024
SV-03486,C-0147,3,25/08/2024
SV-00007,C-0148,1,07/07/2024
SV-03946,C-0149,6,09/07/2024
SV-03947,C-0149,4,17/05/2024
SV-00882,C-0150,6,10/10/2024
SV-04168,C-0151,8,05/11/2024
SV-04169,C-0151,10,17/04/2024
SV-02353,C-0152,10,30/09/2024
SV-02354,C-0152,10,05/05/2024
SV-00456,C-0153,5,30/10/2024
SV-00457,C-0153,8,06/02/2024
SV-02989,C-0154,1,02/10/2024
SV-02034,C-0155,8,30/10/2024
SV-01980,C-0156,5,11/11/2024
SV-00617,C-0157,5,22/08/2024
SV-00875,C-0158,-1,06/12/2024
SV-00876,C-0158,3,10/04/2024
SV-03514,C-0159,5,14/12/2024
SV-03515,C-0159,8,25/01/2024
SV-03348,C-0160,0,22/12/2024
SV-03349,C-0160,0,04/06/2024
SV-03029,C-0162,10,17/11/2024
SV-02065,C-0163,0,12/12/2024
SV-03143,C-0164,0,24/06/2024
SV-03142,C-0164,0,29/11/2024
SV-03693,C-0165,10,28/11/2024
SV-00744,C-0166,4,25/06/2024
SV-00743,C-0166,6,11/11/2024
SV-02992,C-0167,4,03/08/2024
SV-02993,C-0167,7,05/06/2024
SV-01178,C-0168,7,28/09/2024
SV-04127,C-0169,0,21/01/2024
SV-04126,C-0169,0,07/08/2024
SV-04312,C-0170,5,08/02/2024
SV-04311,C-0170,6,03/08/2024
SV-00156,C-0171,3,05/12/2024
SV-01417,C-0172,1,11/01/2024
SV-01416,C-0172,2,10/10/2024
SV-01271,C-0173,0,15/01/2024
SV-01270,C-0173,1,23/09/2024
SV-02503,C-0174,9,21/01/2024
SV-02502,C-0174,6,07/07/2024
SV-01547,C-0175,7,13/05/2024
SV-01546,C-0175,10,12/11/2024
SV-03451,C-0176,6,18/10/2024
SV-04274,C-0177,2,05/12/2024
SV-04275,C-0177,1,27/04/2024
SV-02299,C-0178,10,27/03/2024
SV-02298,C-0178,9,17/07/2024
SV-02784,C-0179,0,03/11/2024
SV-03727,C-0180,6,17/12/2024
SV-02081,C-0181,3,16/10/2024
SV-00136,C-0182,5,06/03/2024
SV-00135,C-0182,6,13/10/2024
SV-02429,C-0183,0,14/11/2024
SV-03323,C-0184,7,27/08/2024
SV-01013,C-0185,0,04/04/2024
SV-01012,C-0185,2,10/11/2024
SV-01824,C-0186,5,15/09/2024
SV-00310,C-0187,4,30/10/2024
SV-02726,C-0188,0,11/04/2024
SV-02725,C-0188,0,11/09/2024
SV-03099,C-0189,8,26/04/2024
SV-03098,C-0189,7,03/07/2024
SV-03152,C-0190,5,13/07/2024
SV-03153,C-0190,7,11/04/2024
SV-02660,C-0191,5,18/02/2024
SV-02659,C-0191,7,01/12/2024
SV-03407,C-0192,8,07/06/2024
SV-03406,C-0192,9,28/09/2024
SV-03366,C-0193,2,06/08/2024
SV-00190,C-0194,3,21/05/2024
SV-00189,C-0194,6,11/10/2024
SV-02837,C-0195,1,23/08/2024
SV-02838,C-0195,2,01/05/2024
SV-04020,C-0196,4,15/07/2024
SV-01914,C-0197,1,29/02/2024
SV-01913,C-0197,4,21/07/2024
SV-03511,C-0198,8,04/07/2024
SV-01313,C-0199,10,10/11/2024
SV-01799,C-0200,5,27/11/2024
SV-01800,C-0200,6,25/03/2024
SV-03219,C-0201,1,02/03/2024
SV-03218,C-0201,3,21/07/2024
SV-00767,C-0202,7,03/10/2024
SV-00379,C-0203,1,06/12/2024
SV-00380,C-0203,-1,19/06/2024
SV-02156,C-0204,6,27/12/2024
SV-02157,C-0204,9,10/02/2024
SV-00009,C-0205,0,28/06/2024
SV-00008,C-0205,3,12/07/2024
SV-01294,C-0206,6,27/04/2024
SV-01293,C-0206,5,27/09/2024
SV-01795,C-0207,8,18/01/2024
SV-01794,C-0207,10,08/07/2024
SV-01501,C-0208,0,03/06/2024
SV-01500,C-0208,1,25/09/2024
SV-03416,C-0209,9,27/12/2024
SV-01472,C-0210,5,10/08/2024
SV-01473,C-0210,8,25/04/2024
SV-01092,C-0211,1,26/10/2024
SV-01093,C-0211,0,16/05/2024
SV-00309,C-0212,3,04/10/2024
SV-00385,C-0213,6,08/07/2024
SV-04173,C-0214,0,06/08/2024
SV-02011,C-0215,4,15/08/2024
SV-00217,C-0216,2,13/11/2024
SV-00532,C-0217,7,25/05/2024
SV-00531,C-0217,5,19/12/2024
SV-01041,C-0218,0,31/05/2024
SV-01040,C-0218,1,15/12/2024
SV-00665,C-0219,8,04/07/2024
SV-00666,C-0219,6,11/02/2024
SV-02568,C-0220,3,31/07/2024
SV-03478,C-0221,7,04/08/2024
SV-03479,C-0221,8,23/03/2024
SV-00270,C-0222,2,09/10/2024
SV-03180,C-0223,7,02/11/2024
SV-02465,C-0224,8,03/08/2024
SV-00087,C-0225,7,05/08/2024
SV-00568,C-0226,7,26/03/2024
SV-00567,C-0226,5,04/10/2024
SV-02607,C-0227,2,13/07/2024
SV-02608,C-0227,3,19/03/2024
SV-01632,C-0229,5,20/07/2024
SV-01633,C-0229,4,25/06/2024
SV-00075,C-0230,2,02/02/2024
SV-00074,C-0230,5,02/11/2024
SV-02493,C-0232,8,01/11/2024
SV-02166,C-0233,7,26/05/2024
SV-02165,C-0233,9,13/07/2024
SV-03675,C-0234,8,13/04/2024
SV-03674,C-0234,7,18/08/2024
SV-01664,C-0235,9,11/08/2024
SV-01665,C-0235,10,08/06/2024
SV-00013,C-0236,2,31/03/2024
SV-00012,C-0236,0,17/09/2024
SV-03249,C-0237,7,21/05/2024
SV-03248,C-0237,5,30/07/2024
SV-03359,C-0238,9,05/11/2024
SV-03453,C-0239,7,17/08/2024
SV-03454,C-0239,4,22/05/2024
SV-03481,C-0240,3,15/06/2024
SV-03480,C-0240,6,28/11/2024
SV-00433,C-0241,7,06/07/2024
SV-00434,C-0241,9,03/05/2024
SV-02321,C-0242,0,25/11/2024
SV-02322,C-0242,2,14/06/2024
SV-00783,C-0243,5,23/10/2024
SV-00784,C-0243,8,10/01/2024
SV-01318,C-0244,9,15/10/2024
SV-02307,C-0245,2,10/01/2024
SV-02306,C-0245,5,28/12/2024
SV-01272,C-0246,4,29/08/2024
SV-00313,C-0247,9,14/03/2024
SV-00312,C-0247,7,12/07/2024
SV-01850,C-0248,6,01/11/2024
SV-01828,C-0249,6,15/11/2024
SV-01829,C-0249,7,30/05/2024
SV-00236,C-0250,7,30/09/2024
SV-00768,C-0251,7,26/09/2024
SV-01320,C-0252,7,03/02/2024
SV-01319,C-0252,6,07/07/2024
SV-02565,C-0253,8,05/08/2024
SV-03274,C-0254,5,21/08/2024
SV-04320,C-0255,0,25/09/2024
SV-04321,C-0255,0,16/03/2024
SV-01146,C-0256,8,14/12/2024
SV-01312,C-0257,2,27/02/2024
SV-01311,C-0257,1,29/10/2024
SV-02326,C-0258,7,11/01/2024
SV-02325,C-0258,6,20/10/2024
SV-03275,C-0259,10,11/07/2024
SV-01566,C-0260,10,04/09/2024
SV-04155,C-0261,9,05/09/2024
SV-03735,C-0262,6,19/10/2024
SV-02474,C-0263,0,12/12/2024
SV-02475,C-0263,3,12/05/2024
SV-02433,C-0264,0,18/01/2024
SV-02432,C-0264,3,20/07/2024
SV-01515,C-0265,10,16/04/2024
SV-01514,C-0265,8,01/07/2024
SV-02761,C-0266,9,20/10/2024
SV-03470,C-0267,8,08/10/2024
SV-00357,C-0268,1,09/07/2024
SV-01703,C-0269,0,11/02/2024
SV-01702,C-0269,1,13/11/2024
SV-00794,C-0270,7,23/03/2024
SV-00793,C-0270,4,17/09/2024
SV-00442,C-0271,5,25/09/2024
SV-00443,C-0271,2,22/02/2024
SV-00211,C-0273,6,30/09/2024
SV-01617,C-0274,0,28/07/2024
SV-01656,C-0275,2,17/08/2024
SV-02007,C-0276,4,23/12/2024
SV-00942,C-0277,8,17/11/2024
SV-00943,C-0277,5,02/05/2024
SV-00005,C-0278,1,16/12/2024
SV-00594,C-0279,8,25/10/2024
SV-00595,C-0279,10,13/02/2024
SV-03941,C-0280,6,18/07/2024
SV-03136,C-0281,6,13/08/2024
SV-03137,C-0281,3,24/03/2024
SV-03966,C-0282,5,01/10/2024
SV-04079,C-0283,10,29/02/2024
SV-04078,C-0283,9,23/07/2024
SV-04029,C-0284,6,16/09/2024
SV-02550,C-0285,8,25/09/2024
SV-02551,C-0285,10,03/02/2024
SV-04291,C-0286,-1,29/10/2024
SV-04292,C-0286,10,28/01/2024
SV-04064,C-0287,4,08/04/2024
SV-04063,C-0287,1,29/08/2024
SV-01936,C-0288,5,09/05/2024
SV-01935,C-0288,3,07/08/2024
SV-03711,C-0289,3,19/09/2024
SV-04271,C-0290,7,17/04/2024
SV-04270,C-0290,10,18/10/2024
SV-03956,C-0291,6,15/11/2024
SV-01508,C-0292,10,23/06/2024
SV-01507,C-0292,10,09/07/2024
SV-03790,C-0293,0,19/03/2024
SV-03789,C-0293,1,05/08/2024
SV-02846,C-0294,2,26/09/2024
SV-01129,C-0295,0,09/12/2024
SV-01130,C-0295,2,07/05/2024
SV-00185,C-0296,3,02/10/2024
SV-00186,C-0296,6,09/06/2024
SV-02492,C-0297,2,27/03/2024
SV-02491,C-0297,0,09/11/2024
SV-01122,C-0298,0,25/10/2024
SV-01123,C-0298,0,12/04/2024
SV-01719,C-0299,3,04/07/2024
SV-01427,C-0301,5,06/09/2024
SV-01428,C-0301,8,15/06/2024
SV-03279,C-0302,9,29/12/2024
SV-03280,C-0302,10,08/05/2024
SV-03926,C-0303,7,11/01/2024
SV-03925,C-0303,10,07/08/2024
SV-00860,C-0304,0,24/10/2024
SV-00861,C-0304,0,27/02/2024
SV-00168,C-0305,3,24/10/2024
SV-01908,C-0306,0,10/08/2024
SV-01909,C-0306,0,16/06/2024
SV-03758,C-0307,0,16/10/2024
SV-03759,C-0307,3,01/01/2024
SV-01992,C-0308,6,17/05/2024
SV-01991,C-0308,4,15/09/2024
SV-03544,C-0309,6,29/01/2024
SV-03543,C-0309,7,02/11/2024
SV-01866,C-0310,5,09/10/2024
SV-02400,C-0311,7,04/09/2024
SV-00459,C-0312,1,20/11/2024
SV-00460,C-0312,0,12/04/2024
SV-01478,C-0313,7,10/12/2024
SV-01305,C-0314,10,14/04/2024
SV-01304,C-0314,9,06/07/2024
SV-01691,C-0315,7,01/05/2024
SV-01690,C-0315,8,30/07/2024
SV-03908,C-0316,8,22/10/2024
SV-03215,C-0317,1,07/12/2024
SV-03013,C-0318,0,02/10/2024
SV-00795,C-0319,3,30/08/2024
SV-03001,C-0321,0,28/02/2024
SV-03000,C-0321,1,23/08/2024
SV-03245,C-0322,4,10/06/2024
SV-03244,C-0322,2,15/12/2024
SV-04246,C-0323,5,18/09/2024
SV-00165,C-0324,0,03/06/2024
SV-00164,C-0324,1,26/09/2024
SV-04176,C-0325,3,14/03/2024
SV-04175,C-0325,2,19/10/2024
SV-01877,C-0326,3,20/07/2024
SV-04387,C-0328,1,12/08/2024
SV-01201,C-0329,6,11/10/2024
SV-01202,C-0329,5,23/02/2024
SV-01777,C-0331,1,15/10/2024
SV-01148,C-0332,4,03/12/2024
SV-01149,C-0332,5,03/06/2024
SV-01226,C-0333,10,28/12/2024
SV-03605,C-0334,9,17/11/2024
SV-03786,C-0335,3,29/05/2024
SV-03785,C-0335,1,21/10/2024
SV-03834,C-0336,10,01/11/2024
SV-03335,C-0337,10,17/10/2024
SV-03336,C-0337,10,16/05/2024
SV-04137,C-0338,-1,25/11/2024
SV-04138,C-0338,3,26/02/2024
SV-00321,C-0339,6,17/10/2024
SV-02285,C-0340,3,19/05/2024
SV-02284,C-0340,2,11/09/2024
SV-04359,C-0342,5,28/09/2024
SV-04360,C-0342,4,22/06/2024
SV-04381,C-0343,7,23/05/2024
SV-04380,C-0343,5,01/07/2024
SV-04066,C-0344,6,08/04/2024
SV-04065,C-0344,3,13/08/2024
SV-01491,C-0345,3,01/11/2024
SV-00403,C-0346,10,26/09/2024
SV-02446,C-0347,3,08/09/2024
SV-02189,C-0348,7,29/10/2024
SV-03930,C-0349,2,05/03/2024
SV-03929,C-0349,5,01/07/2024
SV-00414,C-0350,6,01/07/2024
SV-00415,C-0350,8,03/04/2024
SV-02086,C-0351,8,25/07/2024
SV-02087,C-0351,7,11/04/2024
SV-02765,C-0352,8,01/11/2024
SV-00664,C-0353,1,15/06/2024
SV-00663,C-0353,4,19/07/2024
SV-04384,C-0354,5,30/06/2024
SV-04383,C-0354,4,15/07/2024
SV-03820,C-0355,2,21/12/2024
SV-03821,C-0355,4,16/05/2024
SV-03264,C-0356,7,13/10/2024
SV-01237,C-0357,0,16/12/2024
SV-01238,C-0357,1,17/06/2024
SV-00141,C-0358,1,11/08/2024
SV-03292,C-0359,9,24/12/2024
SV-03293,C-0359,8,25/04/2024
SV-01283,C-0360,3,26/09/2024
SV-04113,C-0361,8,16/11/2024
SV-01006,C-0362,4,03/07/2024
SV-01007,C-0362,2,10/01/2024
SV-03326,C-0363,3,18/09/2024
SV-03327,C-0363,5,07/06/2024
SV-01236,C-0364,5,02/12/2024
SV-03188,C-0365,9,05/08/2024
SV-02868,C-0366,4,23/07/2024
SV-01073,C-0367,10,10/08/2024
SV-01074,C-0367,7,04/04/2024
SV-03596,C-0368,9,09/11/2024
SV-03597,C-0368,7,20/02/2024
SV-00341,C-0369,7,24/02/2024
SV-00340,C-0369,10,01/11/2024
SV-01701,C-0370,6,29/02/2024
SV-01700,C-0370,8,02/11/2024
SV-03103,C-0371,9,02/10/2024
SV-02572,C-0372,9,27/12/2024
SV-01182,C-0373,5,30/12/2024
SV-03074,C-0374,8,10/10/2024
SV-03495,C-0375,4,28/08/2024
SV-03163,C-0376,3,11/06/2024
SV-03162,C-0376,0,23/12/2024
SV-00375,C-0377,4,10/11/2024
SV-03870,C-0378,10,30/10/2024
SV-03871,C-0378,10,24/03/2024
SV-04239,C-0379,10,26/08/2024
SV-04240,C-0379,9,27/01/2024
SV-00878,C-0380,9,25/10/2024
SV-01604,C-0382,8,27/11/2024
SV-03506,C-0383,9,27/06/2024
SV-03505,C-0383,7,12/11/2024
SV-01595,C-0384,8,07/09/2024
SV-00148,C-0385,0,15/03/2024
SV-00147,C-0385,1,04/11/2024
SV-01556,C-0386,9,22/09/2024
SV-01557,C-0386,6,24/04/2024
SV-00378,C-0387,5,08/10/2024
SV-02496,C-0388,7,13/11/2024
SV-00455,C-0389,3,19/05/2024
SV-00454,C-0389,5,25/11/2024
SV-03444,C-0390,3,09/02/2024
SV-03443,C-0390,5,25/09/2024
SV-01421,C-0391,10,29/11/2024
SV-04059,C-0392,5,13/09/2024
SV-04060,C-0392,6,26/04/2024
SV-01786,C-0393,6,30/11/2024
SV-03810,C-0394,3,21/04/2024
SV-03809,C-0394,6,11/12/2024
SV-00792,C-0395,2,09/05/2024
SV-00791,C-0395,-1,23/08/2024
SV-03167,C-0396,6,04/12/2024
SV-00511,C-0397,1,09/08/2024
SV-00512,C-0397,3,23/06/2024
SV-03160,C-0398,0,15/04/2024
SV-03159,C-0398,2,18/12/2024
SV-02370,C-0399,0,04/08/2024
SV-02371,C-0399,2,21/04/2024
SV-02844,C-0400,4,23/09/2024
SV-03580,C-0401,6,16/10/2024
SV-03775,C-0402,0,26/12/2024
SV-03776,C-0402,0,22/02/2024
SV-02098,C-0403,5,28/07/2024
SV-00596,C-0404,10,12/09/2024
SV-02984,C-0405,4,09/11/2024
SV-01746,C-0406,3,07/08/2024
SV-04260,C-0407,6,08/11/2024
SV-00192,C-0408,10,22/03/2024
SV-00191,C-0408,8,04/08/2024
SV-02188,C-0409,1,15/08/2024
SV-04352,C-0410,4,28/11/2024
SV-04353,C-0410,5,25/01/2024
SV-00421,C-0411,5,24/07/2024
SV-02560,C-0412,1,10/11/2024
SV-03191,C-0413,1,07/08/2024
SV-03192,C-0413,0,08/04/2024
SV-03211,C-0414,1,11/12/2024
SV-00890,C-0416,2,06/01/2024
SV-00889,C-0416,1,13/12/2024
SV-00760,C-0417,3,01/01/2024
SV-00759,C-0417,0,15/12/2024
SV-03631,C-0418,10,20/11/2024
SV-03632,C-0418,10,28/03/2024
SV-00803,C-0419,0,13/06/2024
SV-00802,C-0419,2,11/12/2024
SV-00494,C-0420,8,06/11/2024
SV-02059,C-0421,1,23/11/2024
SV-03501,C-0422,4,11/12/2024
SV-02366,C-0423,2,12/01/2024
SV-02365,C-0423,5,09/07/2024
SV-01949,C-0424,7,13/12/2024
SV-03707,C-0425,0,31/08/2024
SV-00881,C-0426,2,16/10/2024
SV-01307,C-0427,0,05/02/2024
SV-01306,C-0427,2,28/07/2024
SV-03974,C-0428,1,29/08/2024
SV-04339,C-0429,6,06/01/2024
SV-04338,C-0429,7,17/11/2024
SV-01495,C-0430,6,21/10/2024
SV-01496,C-0430,3,05/03/2024
SV-02268,C-0431,10,30/09/2024
SV-01332,C-0432,3,28/06/2024
SV-01331,C-0432,5,31/10/2024
SV-01998,C-0433,7,24/10/2024
SV-01999,C-0433,6,18/03/2024
SV-01535,C-0434,0,16/10/2024
SV-01536,C-0434,0,01/03/2024
SV-01345,C-0435,0,05/03/2024
SV-01344,C-0435,1,26/08/2024
SV-01683,C-0436,3,11/11/2024
SV-01684,C-0436,0,07/04/2024
SV-04215,C-0437,10,04/07/2024
SV-04025,C-0438,2,24/09/2024
SV-03680,C-0439,5,22/11/2024
SV-03681,C-0439,3,19/05/2024
SV-01715,C-0440,7,13/11/2024
SV-01716,C-0440,6,28/04/2024
SV-00613,C-0441,1,12/11/2024
SV-00614,C-0441,0,11/01/2024
SV-03878,C-0442,5,17/10/2024
SV-01250,C-0443,0,05/12/2024
SV-01251,C-0443,1,13/05/2024
SV-00607,C-0444,9,28/04/2024
SV-00606,C-0444,8,17/08/2024
SV-00045,C-0445,4,13/10/2024
SV-01953,C-0446,7,07/03/2024
SV-01952,C-0446,5,24/10/2024
SV-01924,C-0447,5,26/08/2024
SV-02887,C-0448,1,13/05/2024
SV-02886,C-0448,4,25/09/2024
SV-03124,C-0449,9,12/05/2024
SV-03123,C-0449,10,23/10/2024
SV-01295,C-0450,7,25/09/2024
SV-04341,C-0451,4,29/03/2024
SV-04340,C-0451,5,22/10/2024
SV-02075,C-0452,0,30/11/2024
SV-03229,C-0453,5,24/10/2024
SV-00149,C-0454,4,09/10/2024
SV-01531,C-0455,5,25/10/2024
SV-01532,C-0455,3,04/04/2024
SV-01634,C-0456,9,22/09/2024
SV-01635,C-0456,10,17/04/2024
SV-04157,C-0457,10,17/03/2024
SV-04156,C-0457,9,29/12/2024
SV-02251,C-0458,7,17/09/2024
SV-00133,C-0459,9,02/12/2024
SV-02069,C-0460,7,27/06/2024
SV-02068,C-0460,9,08/07/2024
SV-04067,C-0461,3,02/09/2024
SV-00311,C-0462,3,25/11/2024
SV-02711,C-0463,3,27/02/2024
SV-02710,C-0463,2,17/10/2024
