customer_id,plan_type,contract_type,subscription_date,total_users,unsubscribed_date,is_churn,avg_usage_hrs,avg_feature_adoption,last_login,total_tickets,avg_nps_score,total_payment_value,avg_payment_delay,total_dunning,usage_per_user
C-0020,starter,Annual,2022-09-30,1,,0,30.0,80.4,2024-12-01,15.0,4.0,2952.48,11.5,1.0,30.0
C-0021,starter,Monthly,2023-12-31,1,,0,40.5,73.5,2024-10-05,6.0,1.0,1745.82,0.6296296296296297,0.0,40.5
C-0022,starter,Monthly,2024-06-30,2,2024-12-15,1,18.7,71.0,2024-12-15,6.0,9.0,1478.04,1.8333333333333333,0.0,9.35
C-0023,enterprise,Monthly,2023-03-31,64,2024-10-26,1,220.0,87.1,2024-10-26,6.0,8.0,19319.12,0.0,0.0,3.4375
C-0024,professional,Monthly,2022-09-30,16,,0,74.1,16.9,2024-11-08,15.0,7.0,8796.48,1.8095238095238095,0.0,4.63125
C-0025,enterprise,Annual,2024-07-31,42,,0,109.7,44.6,2024-11-18,0.0,9.5,170054.28,2.3333333333333335,0.0,2.611904761904762
C-0026,professional,Monthly,2021-09-30,16,,0,96.3,93.7,2024-12-15,7.0,4.0,1657.25,3.0,0.0,6.01875
C-0027,professional,Monthly,2022-11-30,5,,0,97.1,90.6,2024-10-20,14.0,7.0,17255.55,0.7435897435897436,0.0,19.419999999999998
C-0028,professional,Annual,2022-04-30,19,,0,91.9,50.9,2024-12-06,14.0,1.5,19722.239999999998,5.333333333333333,1.0,4.836842105263158
C-0029,starter,Monthly,2024-11-30,2,,0,17.1,43.0,2024-12-08,7.0,5.0,4609.6,0.5,0.0,8.55
C-0030,professional,Monthly,2021-11-30,12,2024-12-17,1,37.4,44.5,2024-12-17,1.0,7.0,764.77,15.0,2.0,3.1166666666666667
C-0031,starter,Annual,2024-02-29,2,2024-10-25,1,52.0,49.7,2024-10-25,0.0,5.0,6257.52,9.666666666666666,1.0,26.0
C-0032,enterprise,Monthly,2021-01-31,34,2024-12-05,1,53.0,39.6,2024-12-05,11.0,10.0,15298.599999999999,4.5,0.0,1.5588235294117647
C-0033,professional,Monthly,2020-12-31,19,,0,119.6,36.3,2024-12-31,4.0,4.0,17559.2,0.0,0.0,6.294736842105263
C-0034,professional,Monthly,2023-10-31,9,2024-10-25,1,46.4,74.0,2024-10-25,4.0,2.0,13598.060000000001,0.8260869565217391,0.0,5.155555555555555
C-0035,enterprise,Annual,2023-08-31,97,,0,131.2,71.6,2024-11-09,12.0,2.5,94613.52,0.0,0.0,1.3525773195876287
C-0036,professional,Monthly,2023-11-30,16,,0,90.2,82.8,2024-10-28,10.0,10.0,11214.08,1.9375,0.0,5.6375
C-0037,professional,Annual,2024-10-31,5,,0,145.8,70.4,2024-10-09,3.0,3.5,18026.16,13.5,2.0,29.160000000000004
C-0038,professional,Annual,2022-03-31,15,,0,47.2,46.0,2024-12-02,13.0,7.5,8228.64,1.0,4.0,3.146666666666667
C-0039,professional,Monthly,2022-04-30,16,2024-10-18,1,52.0,90.9,2024-10-18,2.0,5.0,7569.58,0.7419354838709677,0.0,3.25
C-0040,starter,Annual,2020-12-31,5,,0,43.6,33.6,2024-12-03,0.0,7.5,5100.12,5.0,0.0,8.72
C-0041,professional,Monthly,2021-07-31,11,2024-10-04,1,46.1,72.9,2024-10-04,2.0,7.5,12171.14,1.108695652173913,0.0,4.190909090909091
C-0042,professional,Monthly,2022-10-31,10,2024-10-28,1,125.7,14.6,2024-10-28,6.0,7.0,15809.82,0.8717948717948718,0.0,12.57
C-0043,enterprise,Monthly,2022-03-31,89,,0,121.0,34.8,2024-10-28,4.0,6.0,56810.0,0.3076923076923077,0.0,1.3595505617977528
C-0044,professional,Monthly,2021-11-30,3,,0,42.0,87.1,2024-11-20,3.0,0.5,17056.78,0.3235294117647059,0.0,14.0
C-0045,professional,Monthly,2024-03-31,5,2024-11-05,1,72.0,44.7,2024-11-05,7.0,-1.0,9381.35,0.6756756756756757,0.0,14.4
C-0046,enterprise,Monthly,2024-03-31,59,,0,251.2,19.2,2024-10-08,10.0,4.0,33778.619999999995,4.222222222222222,0.0,4.257627118644067
C-0047,professional,Monthly,2022-05-31,11,,0,93.0,59.3,2024-12-07,9.0,9.0,4838.67,4.444444444444445,0.0,8.454545454545455
C-0048,professional,Monthly,2024-09-30,15,2024-10-23,1,148.3,16.5,2024-10-23,3.0,7.0,20305.510000000002,0.9310344827586207,0.0,9.886666666666667
C-0049,starter,Annual,2021-06-30,1,2024-11-10,1,35.8,69.3,2024-11-10,6.0,8.0,1872.72,12.0,3.0,35.8
C-0050,enterprise,Annual,2022-06-30,56,,0,246.1,91.5,2024-11-12,6.0,0.0,234551.52,0.0,0.0,4.394642857142857
C-0051,starter,Monthly,2022-07-31,5,2024-11-09,1,24.2,75.9,2024-11-09,3.0,0.0,1583.4,1.4482758620689655,0.0,4.84
C-0052,professional,Annual,2024-11-30,3,,0,107.0,86.7,2024-10-11,9.0,3.0,10133.64,9.0,1.0,35.666666666666664
C-0053,starter,Monthly,2023-09-30,4,2024-11-07,1,35.5,43.7,2024-11-07,2.0,3.0,0.0,0.0,0.0,8.875
C-0054,starter,Annual,2021-03-31,2,2024-11-15,1,16.5,93.9,2024-11-15,9.0,5.5,2262.96,9.5,1.0,8.25
C-0055,professional,Annual,2022-07-31,13,,0,72.7,51.7,2024-12-07,10.0,9.0,9672.48,8.0,0.0,5.592307692307693
C-0056,starter,Monthly,2022-04-30,4,,0,16.2,31.4,2024-10-17,0.0,6.5,2325.2200000000003,0.4482758620689655,0.0,4.05
C-0057,enterprise,Annual,2023-10-31,94,2024-10-26,1,110.3,14.3,2024-10-26,3.0,8.0,141635.16,9.333333333333334,0.0,1.1734042553191488
C-0058,starter,Monthly,2024-08-31,5,2024-11-08,1,9.9,78.1,2024-11-08,4.0,5.0,2562.9500000000003,1.3076923076923077,0.0,1.98
C-0059,professional,Monthly,2021-01-31,19,2024-12-20,1,93.3,14.4,2024-12-20,2.0,2.5,2447.4,4.25,0.0,4.910526315789474
C-0060,starter,Annual,2021-02-28,5,2024-11-04,1,3.5,67.1,2024-11-04,2.0,3.0,2493.6,9.0,0.0,0.7
C-0061,starter,Monthly,2024-05-31,4,2024-10-19,1,19.9,34.1,2024-10-19,3.0,1.0,3729.8799999999997,0.6590909090909091,0.0,4.975
C-0062,starter,Annual,2023-01-31,3,2024-10-29,1,35.3,90.4,2024-10-29,4.0,0.5,979.2,2.0,3.0,11.766666666666666
C-0063,starter,Annual,2024-09-30,5,2024-11-16,1,56.1,64.2,2024-11-16,1.0,10.0,2257.68,0.0,0.0,11.22
C-0064,enterprise,Annual,2023-03-31,48,,0,138.3,83.1,2024-10-19,2.0,5.0,19494.48,14.0,0.0,2.88125
C-0065,starter,Annual,2022-06-30,5,2024-12-14,1,38.0,13.1,2024-12-14,7.0,4.5,3233.04,10.0,2.0,7.6
C-0066,professional,Monthly,2022-05-31,15,2024-12-22,1,75.9,80.7,2024-12-22,12.0,1.5,13005.3,0.4,0.0,5.0600000000000005
C-0067,starter,Annual,2021-11-30,3,,0,33.0,34.7,2024-12-29,6.0,9.0,4770.72,0.0,0.0,11.0
C-0068,professional,Monthly,2023-01-31,17,,0,102.4,70.0,2024-11-12,7.0,6.0,22152.27,0.3783783783783784,0.0,6.023529411764706
C-0069,enterprise,Monthly,2022-07-31,80,,0,189.8,37.7,2024-12-03,8.0,0.5,108566.90000000001,0.0,0.0,2.3725
C-0070,professional,Monthly,2023-09-30,17,,0,72.8,51.9,2024-10-02,5.0,9.0,20228.37,1.0689655172413792,0.0,4.2823529411764705
C-0071,starter,Monthly,2021-04-30,4,2024-11-27,1,11.1,37.2,2024-11-27,9.0,0.0,824.04,1.0,0.0,2.775
C-0072,enterprise,Monthly,2021-09-30,11,,0,102.3,42.1,2024-10-25,17.0,7.0,189685.31999999998,0.0,0.0,9.299999999999999
C-0073,professional,Monthly,2023-07-31,15,2024-12-23,1,140.7,37.5,2024-12-23,15.0,3.5,18848.31,0.5897435897435898,0.0,9.379999999999999
C-0074,enterprise,Monthly,2021-04-30,49,2024-11-16,1,73.7,36.9,2024-11-16,9.0,5.0,59706.56,1.25,0.0,1.5040816326530613
C-0075,starter,Annual,2021-02-28,5,,0,49.8,22.4,2024-12-14,11.0,7.0,8238.24,11.0,1.0,9.959999999999999
C-0076,professional,Annual,2022-01-31,6,,0,87.7,74.8,2024-12-17,4.0,4.0,12840.0,5.25,1.0,14.616666666666667
C-0077,enterprise,Annual,2022-01-31,68,2024-10-30,1,68.6,46.4,2024-10-29,7.0,0.5,159527.52,4.333333333333333,2.0,1.0088235294117647
C-0078,professional,Annual,2022-04-30,9,,0,99.1,52.8,2024-12-23,6.0,9.0,7399.799999999999,3.6666666666666665,0.0,11.011111111111111
C-0079,starter,Monthly,2021-11-30,1,,0,57.3,31.1,2024-11-17,9.0,6.0,3136.32,0.09375,0.0,57.3
C-0080,enterprise,Annual,2021-01-31,56,2024-12-28,1,125.2,21.8,2024-11-04,10.0,0.0,68787.36,4.75,0.0,2.2357142857142858
C-0081,enterprise,Annual,2023-06-30,91,,0,182.6,21.3,2024-10-24,8.0,9.0,133254.72,0.0,0.0,2.0065934065934066
C-0082,starter,Monthly,2021-03-31,2,,0,44.9,49.4,2024-12-17,13.0,9.5,3587.58,1.1666666666666667,0.0,22.45
C-0083,starter,Monthly,2021-07-31,5,,0,38.7,89.5,2024-10-31,10.0,6.0,5701.05,0.9777777777777777,0.0,7.74
C-0084,enterprise,Annual,2024-05-31,81,,0,102.3,39.3,2024-11-01,9.0,5.0,133029.6,2.75,0.0,1.2629629629629628
C-0085,professional,Monthly,2021-03-31,6,2024-12-09,1,132.8,77.7,2024-12-09,5.0,5.0,3797.36,3.2857142857142856,0.0,22.133333333333336
C-0086,enterprise,Annual,2022-03-31,99,,0,177.6,10.1,2024-12-08,14.0,5.0,83340.48,0.25,0.0,1.793939393939394
C-0087,starter,Annual,2024-11-30,3,,0,21.8,15.5,2024-11-21,7.0,8.0,3746.88,7.666666666666667,1.0,7.266666666666667
C-0088,enterprise,Monthly,2021-08-31,61,2024-12-11,1,108.1,29.1,2024-12-11,7.0,8.0,1014.9,2.0,0.0,1.7721311475409836
C-0089,starter,Annual,2022-08-31,5,2024-11-15,1,59.1,79.1,2024-11-15,9.0,7.0,2465.28,0.0,0.0,11.82
C-0090,enterprise,Annual,2023-03-31,28,2024-12-24,1,73.1,76.3,2024-12-24,9.0,6.5,127721.88,11.333333333333334,0.0,2.6107142857142853
C-0091,professional,Annual,2023-10-31,9,,0,144.9,35.3,2024-12-25,13.0,9.5,10357.44,9.5,3.0,16.1
C-0092,enterprise,Monthly,2021-05-31,56,,0,92.5,56.3,2024-10-26,7.0,8.0,12392.800000000001,3.5,0.0,1.6517857142857142
C-0093,starter,Annual,2024-02-29,4,2024-10-22,1,14.1,27.2,2024-10-22,0.0,4.0,3936.96,5.5,0.0,3.525
C-0094,professional,Annual,2021-05-31,9,,0,21.9,69.6,2024-11-22,13.0,9.5,6101.88,0.0,0.0,2.433333333333333
C-0095,enterprise,Annual,2024-05-31,90,2024-11-29,1,192.7,17.7,2024-11-29,5.0,10.0,139121.28,7.5,1.0,2.141111111111111
C-0096,enterprise,Monthly,2022-12-31,22,,0,287.7,43.0,2024-11-13,8.0,6.0,7395.22,0.8571428571428571,0.0,13.077272727272726
C-0097,enterprise,Monthly,2024-05-31,47,2024-11-03,1,126.5,73.8,2024-11-03,5.0,8.0,94946.72,0.2727272727272727,0.0,2.6914893617021276
C-0098,enterprise,Monthly,2022-11-30,77,2024-11-13,1,177.9,46.3,2024-11-13,1.0,5.0,20773.14,6.5,0.0,2.3103896103896107
C-0099,professional,Monthly,2024-05-31,3,2024-11-28,1,58.5,64.2,2024-11-28,8.0,7.5,17630.64,1.375,0.0,19.5
C-0100,professional,Annual,2024-02-29,7,2024-12-22,1,113.5,86.6,2024-12-22,7.0,1.0,8944.92,6.0,2.0,16.214285714285715
C-0101,professional,Monthly,2021-04-30,10,2024-12-22,1,133.6,82.1,2024-12-22,6.0,6.0,16633.05,1.0476190476190477,0.0,13.36
C-0102,starter,Annual,2024-10-31,5,2024-11-29,1,46.9,26.6,2024-11-29,8.0,1.0,2214.48,2.0,2.0,9.379999999999999
C-0103,starter,Annual,2023-07-31,5,2024-11-30,1,11.9,41.9,2024-11-30,4.0,10.0,5741.28,7.5,1.0,2.38
C-0104,starter,Annual,2023-12-31,1,2024-12-02,1,27.2,31.5,2024-12-02,7.0,2.0,2112.96,3.0,4.0,27.2
C-0105,starter,Annual,2023-01-31,3,,0,46.1,31.7,2024-12-10,2.0,9.0,2838.24,5.5,2.0,15.366666666666667
C-0106,starter,Annual,2023-03-31,2,2024-11-16,1,49.6,53.1,2024-11-16,3.0,10.0,881.88,15.0,0.0,24.8
C-0107,professional,Annual,2023-08-31,15,,0,129.8,56.5,2024-12-11,3.0,7.5,6797.28,13.5,2.0,8.653333333333334
C-0108,starter,Monthly,2021-12-31,2,2024-11-26,1,29.7,93.9,2024-11-26,4.0,9.0,3277.7999999999997,0.0,0.0,14.85
C-0109,professional,Monthly,2023-06-30,8,2024-11-08,1,109.4,41.1,2024-10-30,4.0,1.0,10365.0,3.533333333333333,0.0,13.675
C-0110,starter,Annual,2023-05-31,3,2024-10-31,1,57.7,14.0,2024-10-31,5.0,5.0,3043.8,4.666666666666667,0.0,19.233333333333334
C-0111,starter,Annual,2021-05-31,3,,0,44.4,72.7,2024-12-07,0.0,5.0,1755.6,0.0,0.0,14.799999999999999
C-0112,professional,Annual,2024-05-31,7,2024-10-27,1,105.2,60.2,2024-10-27,2.0,6.0,12815.52,0.0,0.0,15.028571428571428
C-0113,starter,Annual,2022-02-28,1,2024-11-21,1,30.7,38.4,2024-11-21,2.0,0.5,6080.16,11.0,0.0,30.7
C-0114,starter,Monthly,2024-03-31,3,2024-12-01,1,5.0,34.6,2024-10-19,9.0,3.0,412.3,3.7142857142857144,0.0,1.6666666666666667
C-0115,starter,Monthly,2022-08-31,2,,0,2.6,70.4,2024-11-11,13.0,8.0,3028.04,2.2941176470588234,0.0,1.3
C-0116,professional,Annual,2023-08-31,18,2024-11-24,1,107.6,74.1,2024-11-24,11.0,4.0,15756.48,6.0,1.0,5.977777777777778
C-0117,starter,Monthly,2023-05-31,1,2024-11-28,1,23.9,75.2,2024-11-28,9.0,2.5,662.96,1.875,0.0,23.9
C-0118,starter,Monthly,2023-07-31,2,2024-11-06,1,14.2,40.2,2024-10-24,0.0,10.0,3442.77,1.4814814814814814,0.0,7.1
C-0119,starter,Monthly,2021-08-31,1,2024-12-21,1,8.8,21.6,2024-10-31,9.0,7.5,2656.96,1.0625,0.0,8.8
C-0120,enterprise,Monthly,2024-09-30,37,2024-11-07,1,283.8,66.6,2024-11-07,2.0,5.0,81226.34000000001,0.9411764705882353,0.0,7.6702702702702705
C-0121,starter,Monthly,2021-09-30,2,2024-11-12,1,34.1,38.8,2024-11-12,6.0,2.0,2802.08,0.3125,0.0,17.05
C-0122,enterprise,Monthly,2023-06-30,89,2024-12-01,1,102.3,74.8,2024-12-01,10.0,9.5,68996.0,0.375,0.0,1.149438202247191
C-0123,professional,Annual,2023-02-28,14,,0,89.8,26.0,2024-12-01,15.0,3.0,6157.8,14.0,4.0,6.414285714285714
C-0124,starter,Monthly,2023-10-31,4,,0,43.7,93.2,2024-10-30,8.0,3.0,4809.87,1.358974358974359,0.0,10.925
C-0125,professional,Monthly,2023-03-31,4,,0,143.9,59.0,2024-11-03,14.0,9.0,11817.18,0.0,0.0,35.975
C-0126,starter,Annual,2024-07-31,2,,0,56.9,61.8,2024-12-27,3.0,9.5,3269.76,6.0,0.0,28.45
C-0127,starter,Monthly,2023-07-31,5,,0,25.3,18.2,2024-10-26,1.0,0.0,2607.92,1.0,0.0,5.0600000000000005
C-0128,professional,Monthly,2021-12-31,9,,0,103.1,12.7,2024-12-18,6.0,10.0,10066.98,1.9090909090909092,0.0,11.455555555555556
C-0129,professional,Annual,2021-06-30,6,2024-12-08,1,75.2,42.9,2024-12-08,12.0,2.0,7277.52,5.0,2.0,12.533333333333333
C-0130,enterprise,Monthly,2021-12-31,81,2024-11-04,1,133.0,88.0,2024-11-04,5.0,5.0,48955.52,0.25,0.0,1.6419753086419753
C-0131,enterprise,Annual,2023-03-31,28,,0,188.3,81.5,2024-12-10,4.0,5.5,154585.44,6.666666666666667,1.0,6.7250000000000005
C-0132,enterprise,Monthly,2024-04-30,96,2024-12-28,1,194.4,59.5,2024-12-28,14.0,9.5,62636.28,0.5,0.0,2.025
C-0133,professional,Monthly,2022-03-31,9,,0,133.8,49.5,2024-12-24,7.0,4.0,24013.079999999998,0.25,0.0,14.866666666666667
C-0134,professional,Monthly,2024-02-29,18,2024-11-06,1,72.5,11.9,2024-11-06,2.0,9.0,8421.0,0.7,0.0,4.027777777777778
C-0135,professional,Annual,2022-03-31,4,,0,20.3,73.4,2024-12-27,8.0,8.5,15596.16,9.0,0.0,5.075
C-0136,starter,Annual,2021-10-31,1,,0,26.5,47.8,2024-12-11,17.0,8.5,691.68,3.0,2.0,26.5
C-0137,starter,Annual,2024-11-30,3,2024-11-27,1,21.2,23.1,2024-11-27,6.0,5.0,5373.36,12.666666666666666,1.0,7.066666666666666
C-0138,professional,Annual,2023-05-31,18,,0,68.7,68.6,2024-11-09,15.0,10.0,8852.16,9.0,1.0,3.816666666666667
C-0139,professional,Annual,2024-02-29,20,,0,80.0,69.7,2024-10-07,8.0,5.0,26668.800000000003,0.0,0.0,4.0
C-0140,enterprise,Monthly,2023-05-31,92,2024-11-06,1,85.7,70.7,2024-11-06,1.0,8.0,145350.80000000002,0.7297297297297297,0.0,0.9315217391304348
C-0141,starter,Annual,2021-01-31,3,2024-11-29,1,8.2,88.9,2024-11-29,1.0,0.0,0.0,0.0,0.0,2.733333333333333
C-0142,enterprise,Monthly,2021-07-31,62,2024-12-18,1,275.1,68.0,2024-11-02,11.0,4.0,24849.149999999998,0.5789473684210527,0.0,4.437096774193549
C-0143,enterprise,Monthly,2022-11-30,100,2024-12-18,1,193.9,72.5,2024-12-18,13.0,5.0,45016.6,3.3,0.0,1.939
C-0144,enterprise,Monthly,2023-03-31,30,,0,224.1,58.4,2024-10-04,1.0,3.0,29440.12,0.2631578947368421,0.0,7.47
C-0145,professional,Monthly,2022-05-31,8,2024-12-27,1,71.7,82.1,2024-12-27,15.0,1.0,20883.04,0.8085106382978723,0.0,8.9625
C-0146,starter,Monthly,2024-11-30,1,2024-11-08,1,15.5,37.1,2024-11-08,7.0,4.5,7904.0,0.325,0.0,15.5
C-0147,professional,Annual,2022-03-31,19,,0,148.5,23.4,2024-10-05,1.0,3.0,24629.04,8.333333333333334,0.0,7.815789473684211
C-0148,starter,Annual,2023-02-28,1,2024-11-11,1,42.8,66.4,2024-11-11,5.0,1.0,3756.0,3.0,0.0,42.8
C-0149,professional,Annual,2024-03-31,7,,0,132.5,77.4,2024-11-06,2.0,5.0,12090.960000000001,6.666666666666667,0.0,18.928571428571427
C-0150,enterprise,Monthly,2022-12-31,32,2024-10-04,1,234.0,33.6,2024-10-04,1.0,5.0,0.0,0.0,0.0,7.3125
C-0151,starter,Annual,2021-10-31,4,2024-11-15,1,55.0,56.8,2024-11-15,1.0,9.0,5825.16,0.0,0.0,13.75
C-0152,enterprise,Monthly,2022-08-31,38,2024-12-18,1,96.7,42.1,2024-10-21,13.0,10.0,59464.899999999994,1.8636363636363635,0.0,2.544736842105263
C-0153,starter,Annual,2022-07-31,1,2024-10-07,1,20.3,47.4,2024-10-07,3.0,8.0,1335.72,7.0,2.0,20.3
C-0154,enterprise,Monthly,2023-11-30,73,,0,149.6,85.6,2024-11-24,10.0,1.0,22840.800000000003,0.041666666666666664,0.0,2.0493150684931507
C-0155,starter,Annual,2023-11-30,5,,0,58.1,60.1,2024-11-21,7.0,8.0,8429.28,5.25,0.0,11.620000000000001
C-0156,enterprise,Monthly,2023-02-28,33,,0,145.7,38.5,2024-12-23,11.0,5.0,25334.68,0.0,0.0,4.415151515151515
C-0157,enterprise,Annual,2024-05-31,84,2024-10-17,1,140.8,27.1,2024-10-17,4.0,5.0,133851.96,0.6666666666666666,0.0,1.6761904761904762
C-0158,enterprise,Monthly,2021-09-30,52,,0,267.1,55.0,2024-10-07,0.0,1.0,24984.7,3.1538461538461537,0.0,5.136538461538462
C-0159,professional,Monthly,2024-03-31,5,,0,74.2,43.7,2024-12-22,12.0,6.5,9915.75,1.0,0.0,14.84
C-0160,enterprise,Monthly,2021-10-31,26,,0,253.1,82.0,2024-11-04,10.0,0.0,40539.4,1.5909090909090908,0.0,9.734615384615385
C-0161,starter,Annual,2024-09-30,2,,0,42.1,59.5,2024-12-22,16.0,5.0,1085.64,14.0,3.0,21.05
C-0162,starter,Annual,2021-10-31,2,,0,40.2,48.0,2024-10-22,10.0,10.0,8734.08,6.5,1.0,20.1
C-0163,professional,Monthly,2024-03-31,18,,0,87.0,74.1,2024-12-30,7.0,0.0,6628.86,4.555555555555555,0.0,4.833333333333333
C-0164,starter,Monthly,2021-01-31,5,2024-11-27,1,2.7,13.6,2024-11-27,2.0,0.0,5224.4,0.05405405405405406,0.0,0.54
C-0165,professional,Monthly,2023-07-31,4,,0,116.3,38.8,2024-11-18,9.0,10.0,1595.16,8.0,1.0,29.075
C-0166,professional,Annual,2023-07-31,6,,0,102.5,76.1,2024-12-19,4.0,5.0,26600.64,10.75,1.0,17.083333333333332
C-0167,starter,Monthly,2024-05-31,3,2024-11-07,1,6.4,87.0,2024-11-07,6.0,5.5,1552.96,1.875,0.0,2.1333333333333333
C-0168,starter,Annual,2023-06-30,2,,0,32.4,43.7,2024-12-25,7.0,7.0,4896.48,3.0,0.0,16.2
C-0169,enterprise,Annual,2021-11-30,51,2024-11-12,1,222.6,60.9,2024-11-12,3.0,0.0,78146.64,10.0,2.0,4.364705882352941
C-0170,starter,Monthly,2022-03-31,3,,0,23.4,52.1,2024-11-08,5.0,5.5,2749.92,0.9411764705882353,0.0,7.8
C-0171,enterprise,Monthly,2022-02-28,83,,0,121.4,63.0,2024-11-23,2.0,3.0,11805.779999999999,4.571428571428571,0.0,1.4626506024096386
C-0172,enterprise,Monthly,2022-12-31,77,,0,137.9,42.8,2024-12-07,12.0,1.5,17299.309999999998,1.0,0.0,1.790909090909091
C-0173,starter,Annual,2023-12-31,5,2024-11-29,1,58.8,88.0,2024-11-29,9.0,0.5,4416.0,0.5,0.0,11.76
C-0174,enterprise,Annual,2022-05-31,56,,0,259.9,51.7,2024-10-23,11.0,7.5,111797.28,0.0,0.0,4.641071428571428
C-0175,starter,Monthly,2024-10-31,1,,0,16.2,54.0,2024-11-27,11.0,8.5,2640.3300000000004,0.5151515151515151,0.0,16.2
C-0176,professional,Monthly,2022-12-31,19,2024-12-30,1,90.9,20.6,2024-12-30,5.0,6.0,13998.480000000001,0.9117647058823529,0.0,4.78421052631579
C-0177,starter,Monthly,2021-06-30,2,2024-10-04,1,36.7,90.9,2024-10-04,2.0,1.0,3292.3,0.36363636363636365,0.0,18.35
C-0178,professional,Monthly,2021-12-31,11,,0,50.0,20.4,2024-10-14,6.0,9.5,5784.12,4.0,0.0,4.545454545454546
C-0179,starter,Monthly,2020-12-31,1,,0,49.6,23.7,2024-10-27,4.0,0.0,5432.75,0.0,0.0,49.6
C-0180,professional,Annual,2022-05-31,14,,0,93.3,83.7,2024-12-14,1.0,6.0,5427.6,7.0,4.0,6.664285714285714
C-0181,starter,Monthly,2022-02-28,3,,0,18.1,69.2,2024-12-28,4.0,3.0,3600.96,0.4583333333333333,0.0,6.033333333333334
C-0182,professional,Monthly,2022-02-28,16,,0,106.2,92.1,2024-11-07,3.0,5.5,15596.14,1.3823529411764706,0.0,6.6375
C-0183,professional,Monthly,2021-03-31,6,2024-11-24,1,117.7,16.8,2024-11-24,2.0,0.0,23814.850000000002,0.7073170731707317,0.0,19.616666666666667
C-0184,starter,Annual,2023-08-31,1,,0,3.0,64.6,2024-11-01,15.0,7.0,2736.36,13.0,1.0,3.0
C-0185,professional,Monthly,2021-02-28,13,2024-10-14,1,38.5,28.0,2024-10-14,3.0,0.0,34934.700000000004,0.13043478260869565,0.0,2.9615384615384617
C-0186,starter,Annual,2021-11-30,4,2024-10-06,1,12.5,31.4,2024-10-06,2.0,5.0,4235.4,0.0,0.0,3.125
C-0187,starter,Annual,2021-10-31,1,,0,12.8,89.5,2024-10-25,9.0,4.0,6537.24,7.333333333333333,0.0,12.8
C-0188,starter,Monthly,2024-06-30,5,,0,50.0,51.6,2024-12-09,11.0,0.0,2874.36,1.3235294117647058,0.0,10.0
C-0189,starter,Monthly,2023-01-31,5,,0,53.3,31.0,2024-11-04,10.0,7.5,6474.599999999999,0.0,0.0,10.66
